text,category,severity
Waiting area ceiling fans in health dispensary Chatra making loud squeaking noise.,Healthcare,LOW
"Submersible pump at community borewell completely burned out, leaving entire village Khunti without drinking water.",Water Management,HIGH
Slum settlement in Chaibasa experiencing severe hepatitis outbreak due to open sewage pools.,Sanitation,CRITICAL
Farmer credit card passbook printer out of paper at rural bank branch Khunti.,Agriculture,LOW
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Gumla.",Environment,HIGH
X-ray and Sonography machines at Community Health Centre Palamu out of order for past 7 weeks.,Healthcare,HIGH
Cholera and severe gastroenteritis outbreak reported due to sewage mixing in drinking water pipelines in Sahebganj.,Water Management,CRITICAL
Auto rickshaw stand encroaching on pedestrian crossing near market Hazaribagh.,Transportation,LOW
Primary school and anganwadi center in Chaibasa has non-functional water taps for 5 days.,Water Management,HIGH
"Severe low voltage of 110V damaging all domestic refrigerators, water pumps, and fans in Chatra.",Energy,HIGH
"Toxic chemical industrial waste dumped near community playground, emitting noxious fumes in Godda.",Sanitation,CRITICAL
Display board showing doctor consultation timings missing outside health clinic Jamshedpur.,Healthcare,LOW
Pack of aggressive rabid stray dogs attacked and mauled multiple senior citizens and children in Palamu.,Public Safety,HIGH
CCTV cameras installed at main market intersection non-functional for past 6 months in Giridih.,Public Safety,MEDIUM
Massive locust attack destroying standing wheat and mustard crops across 500 hectares in Chatra.,Agriculture,CRITICAL
Footbridge over railway tracks in Dumka has severely rusted corroded pillars shaking in wind.,Urban Infrastructure,HIGH
"Huge garbage dump on street corner in Koderma not cleared for 21 weeks, decomposing and blocking traffic.",Sanitation,HIGH
"Main feeder water line ruptured by telecom JCB digging along Airport Road, continuous massive water wastage.",Water Management,HIGH
"Stone crushing factories operating without water sprinklers, entire residential area enveloped in toxic silica dust in Sahebganj.",Environment,HIGH
Free textbooks and uniforms under government educational scheme not distributed even 4 months after session start in Koderma.,Education,MEDIUM
Anti-rabies and anti-snake venom emergency injections completely out of stock in district hospital Godda.,Healthcare,CRITICAL
"Hazardous industrial gas leak from factory causing nausea, fainting, and breathing distress in surrounding village Godda.",Environment,CRITICAL
"Government ambulance dial 108 helpline not answering, pregnant patient died en route in Ramgarh.",Healthcare,CRITICAL
Footbridge over railway tracks in Gumla has severely rusted corroded pillars shaking in wind.,Urban Infrastructure,HIGH
"School boundary wall collapsed near railway line, exposing small children to high-speed trains in Hazaribagh.",Education,CRITICAL
Underground pipe leak causing clean drinking water to pool on the street near Circular Road.,Water Management,MEDIUM
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Sahebganj.,Environment,MEDIUM
Organized cyber fraud gang duping illiterate rural elders of their pension funds under fake scheme in Palamu.,Public Safety,MEDIUM
CCTV cameras installed at main market intersection non-functional for past 6 months in Khunti.,Public Safety,MEDIUM
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Palamu.,Education,CRITICAL
Slum settlement in Garhwa experiencing severe hepatitis outbreak due to open sewage pools.,Sanitation,CRITICAL
Dead animal carcass found decaying inside the community drinking water overhead tank in Garhwa.,Water Management,CRITICAL
"Soil testing laboratory report delayed by 4 months, missed sowing season in block Sahebganj.",Agriculture,MEDIUM
"Drinking water tank in village school contaminated, dozens of children sick with food poisoning in Sahebganj.",Education,CRITICAL
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Bokaro.,Education,CRITICAL
Public park green lawn dried up due to lack of municipal gardening staff in Dumka.,Environment,LOW
"Electric pole broken at base by storm, leaning directly over tin roof of occupied house in Chatra.",Energy,CRITICAL
Mosquito breeding epidemic in Dhanbad due to stagnant black sewage water in uncleaned open drains.,Sanitation,HIGH
"Submersible pump at community borewell completely burned out, leaving entire village Dumka without drinking water.",Water Management,HIGH
Request for zebra crossing painting outside primary school gate in Godda.,Urban Infrastructure,LOW
Anti-rabies and anti-snake venom emergency injections completely out of stock in district hospital West Singhbhum.,Healthcare,CRITICAL
Water bill received has higher meter reading than actual consumption in Godda.,Water Management,LOW
"Massive landslide and retaining wall collapse blocked state highway College Road, trapping vehicles under debris.",Urban Infrastructure,CRITICAL
CCTV cameras installed at main market intersection non-functional for past 6 months in Ranchi.,Public Safety,MEDIUM
"Main feeder water line ruptured by telecom JCB digging along Ring Road, continuous massive water wastage.",Water Management,HIGH
Extreme overcrowding in city buses with passengers hanging precariously from footboards and window grills in Chaibasa.,Transportation,HIGH
Fake spurious pesticide sold by licensed supplier wiped out entire cotton crop in block Ramgarh.,Agriculture,CRITICAL
"Sinkhole formed suddenly in the middle of intersection near Khunti, engulfing front of a delivery truck.",Urban Infrastructure,CRITICAL
Dead animal carcass found decaying inside the community drinking water overhead tank in Dhanbad.,Water Management,CRITICAL
"Underground sewage trunk line choked, raw sewage water backflowing into hundreds of houses in Godda.",Sanitation,CRITICAL
Gang of anti-social youth eve-teasing and harassing female students daily outside coaching hub in Ramgarh.,Public Safety,HIGH
Leakage in water meter junction wasting thousands of liters daily outside house in Simdega.,Water Management,MEDIUM
"Massive landslide and retaining wall collapse blocked state highway Airport Road, trapping vehicles under debris.",Urban Infrastructure,CRITICAL
"Extreme shortage of essential medicines, paracetamol, and ORS packets in primary health clinic Lohardaga.",Healthcare,HIGH
"Drinking water contaminated with industrial chemical waste, dozens hospitalized with severe poisoning in Saraikela.",Water Management,CRITICAL
Request for zebra crossing painting outside primary school gate in Garhwa.,Urban Infrastructure,LOW
Display board showing doctor consultation timings missing outside health clinic Koderma.,Healthcare,LOW
"Canal outlet siphon silted up, tail-end farmers receiving zero irrigation flow in Dhanbad.",Agriculture,MEDIUM
OPD registration counter has only one operator for over 400 patients daily in Chatra.,Healthcare,MEDIUM
"Severe low voltage of 110V damaging all domestic refrigerators, water pumps, and fans in Palamu.",Energy,HIGH
Water pipeline breach drowned three cows and flooded electrical sub-station near Airport Road.,Water Management,CRITICAL
Public dustbins in market area Giridih broken and overflowing with plastic bags.,Sanitation,MEDIUM
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near Simdega.,Environment,CRITICAL
"Government grain mandi delaying procurement, farmers' harvested grain soaked in rain in open yard at Chatra.",Agriculture,HIGH
Unauthorized commercial advertising banners blocking driver visibility at road turning in Chatra.,Public Safety,LOW
Fake and counterfeit antibiotics distributed through government pharmacy outlet in Chaibasa.,Healthcare,CRITICAL
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Gumla.,Public Safety,HIGH
"Mid-day meal served to schoolchildren contained dead lizard and worms, 20 pupils hospitalized in Saraikela.",Education,CRITICAL
Free textbooks and uniforms under government educational scheme not distributed even 4 months after session start in Hazaribagh.,Education,MEDIUM
"Severe low voltage of 110V damaging all domestic refrigerators, water pumps, and fans in Lohardaga.",Energy,HIGH
"Illegal sand mining mafia using heavy dredging excavators, destroying river ecosystem and groundwater table at West Singhbhum.",Environment,CRITICAL
"Pedestrian subway has zero lighting, non-functional CCTV, and zero police patrols, making it dangerous after dark in Khunti.",Public Safety,HIGH
Fake and counterfeit antibiotics distributed through government pharmacy outlet in Saraikela.,Healthcare,CRITICAL
Request for shifting electricity pole standing slightly inward on private driveway in Bokaro.,Energy,LOW
Waiting area ceiling fans in health dispensary Giridih making loud squeaking noise.,Healthcare,LOW
Request for additional bus stop shelter along newly developed residential sector in Khunti.,Transportation,LOW
Public dustbins in market area West Singhbhum broken and overflowing with plastic bags.,Sanitation,MEDIUM
Request for placing separate green and blue waste segregation bins in park at Jamtara.,Sanitation,LOW
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Khunti.,Public Safety,HIGH
Abandoned scrap car left parked on colony street corner for 1 year in Bokaro.,Public Safety,LOW
Electric wires tangled in tree branches causing sparks in wind near Market Square in Lohardaga.,Energy,MEDIUM
Municipal sanitation sweepers have not visited colony Ramgarh for past 5 days.,Sanitation,MEDIUM
